%s was successfully added to your shopping cart.,%s đã được thêm vào giỏ hàng của bạn.
Street Address,Đường
Street Address,Đường
Submitting order information...,Đang gửi thông tin đặt hàng...
Subtotal,Tổng cộng
Telephone,Điện thoại
Terms and Conditions,Các điều khoản
Terms and Conditions Information,Thông tin về các điều khoản
Terms and conditions,Các điều khoản
Text,Văn bản (text)
Thank you for your purchase!,Rất cám ơn bạn đã mua hàng!
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Có <a href=""%s""><strong>%s sản phẩm</strong></a> trong giỏ hàng của bạn."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Có <a href=""%s""><strong>1 sản phẩm</strong></a> trong giỏ hàng của bạn."
There is already a customer registered using this email address,Đã có người dùng khác sử dụng địa chỉ email này
There was an error processing your order. Please contact us or try again later.,Có lỗi khi xử lý đơn hàng của bạn. Vui lòng liên hệ để trợ giúp hoặc thử lại sau.
This condition no longer exists,Điều kiện này không còn tồn tại
Total,Tổng số
Total for this address,Tổng cho địa chỉ này
Unit Price,Giá đơn vị
Update Qty &amp; Addresses,Cập nhật số lượng &amp; địa chỉ
Update Shopping Cart,Cập nhật giỏ hàng
Update Total,Cập nhật tổng cộng
Use Billing Address,Sử dụng địa chỉ thanh toán
We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.,Chúng tôi đang xử lý đơn hàng của bạn và bạn sẽ nhận ngay được email thông báo chi tiết về đơn hàng.Khi chúng tôi gửi hàng. Bạn sẽ nhận được một email khác cùng với đường dẫn để theo dõi quá trình này.
You have no items in your shopping cart.,Không có sản phẩm nào trong giỏ hàng của bạn.
You will receive an order confirmation email with details of your order and a link to track its progress.,Bạn sẽ nhận được email xác nhận đặt hàng trong đó có các thông tin chi tiết về đơn hàng của bạn và đường dẫn để theo dõi đơn hàng của bạn.
Your Checkout Progress,Tiến trình thanh toán
Your order # is: %s,Đơn hàng của bạn # là: %s
"Your order # is: <a href=""%s"">%s</a>","Đơn hàng của bạn # là: <a href=""%s"">%s</a>"
Your order has been received,Chúng tôi đã nhận được đặt hàng của bạn
Your order number is,Số đơn hàng của bạn là
Zip/Postal Code,Zip/Postal Code
osCommerce Orders,Đơn hàng osCommerce
"separate by "",""","phân cách bằng "","""
